States/UTs,Crime Head,Year,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total
Maharashtra,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,661,57,718
Maharashtra,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,7,0,7
Maharashtra,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,19,0,19
Maharashtra,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,647,44,691
Maharashtra,6.5 - Other Kidnapping,2014,194,13,207
Maharashtra,7 - Foeticide (Section 315 and 316 IPC),2014,4,1,5
Maharashtra,8 - Abetment of Suicide of child (Section 305 IPC),2014,18,2,20
Maharashtra,9 - Exposure and Abandonment (Section 317 IPC),2014,90,17,107
Maharashtra,10 - Procuration of minor girls (Section 366-A IPC),2014,7,0,7
Maharashtra,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Maharashtra,12 - Buying of minors for prostitution (Section 373 IPC),2014,9,0,9
Maharashtra,13 - Selling of minors for prostitution (Section 372 IPC),2014,4,0,4
Maharashtra,"14 - Prohibition of Child Marriage Act, 2006",2014,54,18,72
Maharashtra,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Maharashtra,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,74,1,75
Maharashtra,16.1 - Offences committed against Migrant,2014,6,0,6
Maharashtra,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Maharashtra,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Maharashtra,16.1.3 - Offences committed against others migrants,2014,6,0,6
Maharashtra,16.2 - Offences committed against Locals,2014,68,1,69
Maharashtra,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Maharashtra,16.2.2 - Offences committed against Local STs,2014,0,0,0
Maharashtra,16.2.3 - Offences committed against others locals,2014,68,1,69
Maharashtra,"17 - Immoral Traffic (Prevention) Act, 1956",2014,23,4,27
Maharashtra,17.1 - Under ITP Section 5,2014,7,1,8
Maharashtra,17.2 - Under ITP Section 6,2014,0,0,0
Maharashtra,17.3 - Under ITP Section 7,2014,13,0,13
Maharashtra,17.4 - Under ITP Section 8,2014,1,0,1
Maharashtra,17.5 - Other Section of ITP Act,2014,2,3,5
Maharashtra,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,122,7,129
Maharashtra,"19 - Protection of Children from Sexual Offences Act, 2012",2014,173,1,174
Maharashtra,19.1 - Under PCSO Act Section 4,2014,80,1,81
Maharashtra,19.2 - Under PCSO Act Section 6,2014,34,0,34
Maharashtra,19.3 - Under PCSO Act Section 8,2014,27,0,27
Maharashtra,19.4 - Under PCSO Act Section 10,2014,2,0,2
Maharashtra,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Maharashtra,19.6 - Other Acts of PCSO,2014,30,0,30
Maharashtra,20 - Attempt to commit Murder u/s 307 IPC,2014,88,7,95
Maharashtra,21 - Unnatural Offences u/s 377 IPC,2014,90,0,90
Maharashtra,22 - Other crimes committed against children,2014,1107,53,1160
Maharashtra,23 - Total crimes against Children,2014,7995,343,8338
Manipur,1 - Murder (Section 302 and 303 IPC),2014,3,0,3
Manipur,2 - Infanticide (Section 315 IPC),2014,0,0,0
Manipur,3 - Rape,2014,22,0,22
Manipur,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,5,0,5
Manipur,4.1 - Sexual Harassment (Section 354A IPC),2014,1,0,1
Manipur,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,0,0,0
Manipur,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Manipur,4.4 - Stalking (Section 354D IPC),2014,0,0,0
Manipur,4.5 - Others assault,2014,4,0,4
Manipur,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,0,0,0
Manipur,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,15,0,15
Manipur,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,1,0,1
Manipur,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Manipur,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0
Manipur,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,13,0,13
Manipur,6.5 - Other Kidnapping,2014,1,0,1
Manipur,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Manipur,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Manipur,9 - Exposure and Abandonment (Section 317 IPC),2014,0,0,0
Manipur,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0
Manipur,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Manipur,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Manipur,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Manipur,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0
Manipur,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Manipur,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Manipur,16.1 - Offences committed against Migrant,2014,0,0,0
Manipur,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Manipur,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Manipur,16.1.3 - Offences committed against others migrants,2014,0,0,0
Manipur,16.2 - Offences committed against Locals,2014,0,0,0
Manipur,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Manipur,16.2.2 - Offences committed against Local STs,2014,0,0,0
Manipur,16.2.3 - Offences committed against others locals,2014,0,0,0
Manipur,"17 - Immoral Traffic (Prevention) Act, 1956",2014,0,0,0
Manipur,17.1 - Under ITP Section 5,2014,0,0,0
Manipur,17.2 - Under ITP Section 6,2014,0,0,0
Manipur,17.3 - Under ITP Section 7,2014,0,0,0
Manipur,17.4 - Under ITP Section 8,2014,0,0,0
Manipur,17.5 - Other Section of ITP Act,2014,0,0,0
Manipur,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,1,0,1
Manipur,"19 - Protection of Children from Sexual Offences Act, 2012",2014,7,0,7
Manipur,19.1 - Under PCSO Act Section 4,2014,3,0,3
Manipur,19.2 - Under PCSO Act Section 6,2014,1,0,1
Manipur,19.3 - Under PCSO Act Section 8,2014,2,0,2
Manipur,19.4 - Under PCSO Act Section 10,2014,0,0,0
Manipur,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Manipur,19.6 - Other Acts of PCSO,2014,1,0,1
Manipur,20 - Attempt to commit Murder u/s 307 IPC,2014,0,0,0
Manipur,21 - Unnatural Offences u/s 377 IPC,2014,0,0,0
Manipur,22 - Other crimes committed against children,2014,1,2,3
Manipur,23 - Total crimes against Children,2014,54,2,56
Meghalaya,1 - Murder (Section 302 and 303 IPC),2014,0,0,0
Meghalaya,2 - Infanticide (Section 315 IPC),2014,0,0,0
Meghalaya,3 - Rape,2014,69,0,69
Meghalaya,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,7,0,7
Meghalaya,4.1 - Sexual Harassment (Section 354A IPC),2014,0,0,0
Meghalaya,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,0,0,0
Meghalaya,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Meghalaya,4.4 - Stalking (Section 354D IPC),2014,0,0,0
Meghalaya,4.5 - Others assault,2014,7,0,7
Meghalaya,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,2,0,2
Meghalaya,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,22,0,22
Meghalaya,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,10,0,10
Meghalaya,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Meghalaya,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,3,0,3
Meghalaya,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0
Meghalaya,6.5 - Other Kidnapping,2014,9,0,9
Meghalaya,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Meghalaya,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Meghalaya,9 - Exposure and Abandonment (Section 317 IPC),2014,0,0,0
Meghalaya,10 - Procuration of minor girls (Section 366-A IPC),2014,12,0,12
Meghalaya,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Meghalaya,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Meghalaya,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Meghalaya,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0
Meghalaya,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Meghalaya,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Meghalaya,16.1 - Offences committed against Migrant,2014,0,0,0
Meghalaya,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Meghalaya,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Meghalaya,16.1.3 - Offences committed against others migrants,2014,0,0,0
Meghalaya,16.2 - Offences committed against Locals,2014,0,0,0
Meghalaya,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Meghalaya,16.2.2 - Offences committed against Local STs,2014,0,0,0
Meghalaya,16.2.3 - Offences committed against others locals,2014,0,0,0
Meghalaya,"17 - Immoral Traffic (Prevention) Act, 1956",2014,0,0,0
Meghalaya,17.1 - Under ITP Section 5,2014,0,0,0
Meghalaya,17.2 - Under ITP Section 6,2014,0,0,0
Meghalaya,17.3 - Under ITP Section 7,2014,0,0,0
Meghalaya,17.4 - Under ITP Section 8,2014,0,0,0
Meghalaya,17.5 - Other Section of ITP Act,2014,0,0,0
Meghalaya,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0
Meghalaya,"19 - Protection of Children from Sexual Offences Act, 2012",2014,44,0,44
Meghalaya,19.1 - Under PCSO Act Section 4,2014,26,0,26
Meghalaya,19.2 - Under PCSO Act Section 6,2014,6,0,6
Meghalaya,19.3 - Under PCSO Act Section 8,2014,4,0,4
Meghalaya,19.4 - Under PCSO Act Section 10,2014,3,0,3
Meghalaya,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Meghalaya,19.6 - Other Acts of PCSO,2014,5,0,5
Meghalaya,20 - Attempt to commit Murder u/s 307 IPC,2014,18,0,18
Meghalaya,21 - Unnatural Offences u/s 377 IPC,2014,0,0,0
Meghalaya,22 - Other crimes committed against children,2014,9,0,9
Meghalaya,23 - Total crimes against Children,2014,183,0,183
Mizoram,1 - Murder (Section 302 and 303 IPC),2014,0,0,0
Mizoram,2 - Infanticide (Section 315 IPC),2014,0,0,0
Mizoram,3 - Rape,2014,90,0,90
Mizoram,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,33,0,33
Mizoram,4.1 - Sexual Harassment (Section 354A IPC),2014,19,0,19
Mizoram,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,7,0,7
Mizoram,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Mizoram,4.4 - Stalking (Section 354D IPC),2014,1,0,1
Mizoram,4.5 - Others assault,2014,6,0,6
Mizoram,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,0,0,0
Mizoram,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,1,1,2
Mizoram,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,1,0,1
Mizoram,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Mizoram,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0
Mizoram,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0
Mizoram,6.5 - Other Kidnapping,2014,0,1,1
Mizoram,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Mizoram,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Mizoram,9 - Exposure and Abandonment (Section 317 IPC),2014,0,0,0
Mizoram,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0
Mizoram,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Mizoram,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Mizoram,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Mizoram,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0
Mizoram,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Mizoram,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Mizoram,16.1 - Offences committed against Migrant,2014,0,0,0
Mizoram,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Mizoram,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Mizoram,16.1.3 - Offences committed against others migrants,2014,0,0,0
Mizoram,16.2 - Offences committed against Locals,2014,0,0,0
Mizoram,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Mizoram,16.2.2 - Offences committed against Local STs,2014,0,0,0
Mizoram,16.2.3 - Offences committed against others locals,2014,0,0,0
Mizoram,"17 - Immoral Traffic (Prevention) Act, 1956",2014,0,0,0
Mizoram,17.1 - Under ITP Section 5,2014,0,0,0
Mizoram,17.2 - Under ITP Section 6,2014,0,0,0
Mizoram,17.3 - Under ITP Section 7,2014,0,0,0
Mizoram,17.4 - Under ITP Section 8,2014,0,0,0
Mizoram,17.5 - Other Section of ITP Act,2014,0,0,0
Mizoram,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0
Mizoram,"19 - Protection of Children from Sexual Offences Act, 2012",2014,17,0,17
Mizoram,19.1 - Under PCSO Act Section 4,2014,9,0,9
Mizoram,19.2 - Under PCSO Act Section 6,2014,4,0,4
Mizoram,19.3 - Under PCSO Act Section 8,2014,4,0,4
Mizoram,19.4 - Under PCSO Act Section 10,2014,0,0,0
Mizoram,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Mizoram,19.6 - Other Acts of PCSO,2014,0,0,0
Mizoram,20 - Attempt to commit Murder u/s 307 IPC,2014,0,0,0
Mizoram,21 - Unnatural Offences u/s 377 IPC,2014,4,0,4
Mizoram,22 - Other crimes committed against children,2014,7,0,7
Mizoram,23 - Total crimes against Children,2014,152,1,153
Nagaland,1 - Murder (Section 302 and 303 IPC),2014,0,1,1
Nagaland,2 - Infanticide (Section 315 IPC),2014,0,0,0
Nagaland,3 - Rape,2014,9,0,9
Nagaland,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,6,0,6
Nagaland,4.1 - Sexual Harassment (Section 354A IPC),2014,1,0,1
Nagaland,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,0,0,0
Nagaland,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Nagaland,4.4 - Stalking (Section 354D IPC),2014,0,0,0
Nagaland,4.5 - Others assault,2014,5,0,5
Nagaland,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,0,0,0
Nagaland,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,7,0,7
Nagaland,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,4,0,4
Nagaland,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Nagaland,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0
Nagaland,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,2,0,2
Nagaland,6.5 - Other Kidnapping,2014,1,0,1
Nagaland,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Nagaland,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Nagaland,9 - Exposure and Abandonment (Section 317 IPC),2014,0,0,0
Nagaland,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0
Nagaland,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Nagaland,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Nagaland,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Nagaland,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0
Nagaland,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Nagaland,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Nagaland,16.1 - Offences committed against Migrant,2014,0,0,0
Nagaland,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Nagaland,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Nagaland,16.1.3 - Offences committed against others migrants,2014,0,0,0
Nagaland,16.2 - Offences committed against Locals,2014,0,0,0
Nagaland,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Nagaland,16.2.2 - Offences committed against Local STs,2014,0,0,0
Nagaland,16.2.3 - Offences committed against others locals,2014,0,0,0
Nagaland,"17 - Immoral Traffic (Prevention) Act, 1956",2014,0,0,0
Nagaland,17.1 - Under ITP Section 5,2014,0,0,0
Nagaland,17.2 - Under ITP Section 6,2014,0,0,0
Nagaland,17.3 - Under ITP Section 7,2014,0,0,0
Nagaland,17.4 - Under ITP Section 8,2014,0,0,0
Nagaland,17.5 - Other Section of ITP Act,2014,0,0,0
Nagaland,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0
Nagaland,"19 - Protection of Children from Sexual Offences Act, 2012",2014,0,0,0
Nagaland,19.1 - Under PCSO Act Section 4,2014,0,0,0
Nagaland,19.2 - Under PCSO Act Section 6,2014,0,0,0
Nagaland,19.3 - Under PCSO Act Section 8,2014,0,0,0
Nagaland,19.4 - Under PCSO Act Section 10,2014,0,0,0
Nagaland,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Nagaland,19.6 - Other Acts of PCSO,2014,0,0,0
Nagaland,20 - Attempt to commit Murder u/s 307 IPC,2014,22,0,22
Nagaland,21 - Unnatural Offences u/s 377 IPC,2014,0,0,0
Nagaland,22 - Other crimes committed against children,2014,0,0,0
Nagaland,23 - Total crimes against Children,2014,44,1,45
Odisha,1 - Murder (Section 302 and 303 IPC),2014,24,2,26
Odisha,2 - Infanticide (Section 315 IPC),2014,0,0,0
Odisha,3 - Rape,2014,712,3,715
Odisha,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,307,32,339
Odisha,4.1 - Sexual Harassment (Section 354A IPC),2014,141,32,173
Odisha,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,21,0,21
Odisha,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Odisha,4.4 - Stalking (Section 354D IPC),2014,0,0,0
Odisha,4.5 - Others assault,2014,145,0,145
Odisha,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,39,0,39
Odisha,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,389,3,392
Odisha,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,180,0,180
Odisha,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,3,0,3
Odisha,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,1,0,1
Odisha,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,142,3,145
Odisha,6.5 - Other Kidnapping,2014,63,0,63
Odisha,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Odisha,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Odisha,9 - Exposure and Abandonment (Section 317 IPC),2014,0,0,0
Odisha,10 - Procuration of minor girls (Section 366-A IPC),2014,30,2,32
Odisha,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Odisha,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Odisha,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Odisha,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0
Odisha,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Odisha,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,3,1,4
Odisha,16.1 - Offences committed against Migrant,2014,0,0,0
Odisha,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Odisha,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Odisha,16.1.3 - Offences committed against others migrants,2014,0,0,0
Odisha,16.2 - Offences committed against Locals,2014,3,1,4
Odisha,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Odisha,16.2.2 - Offences committed against Local STs,2014,0,0,0
Odisha,16.2.3 - Offences committed against others locals,2014,3,1,4
Odisha,"17 - Immoral Traffic (Prevention) Act, 1956",2014,1,0,1
Odisha,17.1 - Under ITP Section 5,2014,0,0,0
Odisha,17.2 - Under ITP Section 6,2014,1,0,1
Odisha,17.3 - Under ITP Section 7,2014,0,0,0
Odisha,17.4 - Under ITP Section 8,2014,0,0,0
Odisha,17.5 - Other Section of ITP Act,2014,0,0,0
Odisha,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,16,0,16
Odisha,"19 - Protection of Children from Sexual Offences Act, 2012",2014,100,0,100
Odisha,19.1 - Under PCSO Act Section 4,2014,53,0,53
Odisha,19.2 - Under PCSO Act Section 6,2014,33,0,33
Odisha,19.3 - Under PCSO Act Section 8,2014,7,0,7
Odisha,19.4 - Under PCSO Act Section 10,2014,2,0,2
Odisha,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Odisha,19.6 - Other Acts of PCSO,2014,5,0,5
Odisha,20 - Attempt to commit Murder u/s 307 IPC,2014,4,0,4
Odisha,21 - Unnatural Offences u/s 377 IPC,2014,5,0,5
Odisha,22 - Other crimes committed against children,2014,172,5,177
Odisha,23 - Total crimes against Children,2014,1802,48,1850
Punjab,1 - Murder (Section 302 and 303 IPC),2014,57,4,61
Punjab,2 - Infanticide (Section 315 IPC),2014,4,1,5
Punjab,3 - Rape,2014,542,11,553
Punjab,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,177,1,178
Punjab,4.1 - Sexual Harassment (Section 354A IPC),2014,69,0,69
Punjab,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,7,0,7
Punjab,4.3 - Voyeurism (Section 354C IPC),2014,2,0,2
Punjab,4.4 - Stalking (Section 354D IPC),2014,12,0,12
Punjab,4.5 - Others assault,2014,87,1,88
Punjab,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,0,0,0
Punjab,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,631,27,658
Punjab,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,83,8,91
Punjab,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,18,0,18
Punjab,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,6,0,6
Punjab,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,335,14,349
Punjab,6.5 - Other Kidnapping,2014,189,5,194
Punjab,7 - Foeticide (Section 315 and 316 IPC),2014,2,0,2
Punjab,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Punjab,9 - Exposure and Abandonment (Section 317 IPC),2014,4,0,4
Punjab,10 - Procuration of minor girls (Section 366-A IPC),2014,3,1,4
Punjab,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Punjab,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Punjab,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Punjab,"14 - Prohibition of Child Marriage Act, 2006",2014,1,2,3
Punjab,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Punjab,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Punjab,16.1 - Offences committed against Migrant,2014,0,0,0
Punjab,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Punjab,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Punjab,16.1.3 - Offences committed against others migrants,2014,0,0,0
Punjab,16.2 - Offences committed against Locals,2014,0,0,0
Punjab,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Punjab,16.2.2 - Offences committed against Local STs,2014,0,0,0
Punjab,16.2.3 - Offences committed against others locals,2014,0,0,0
Punjab,"17 - Immoral Traffic (Prevention) Act, 1956",2014,0,0,0
Punjab,17.1 - Under ITP Section 5,2014,0,0,0
Punjab,17.2 - Under ITP Section 6,2014,0,0,0
Punjab,17.3 - Under ITP Section 7,2014,0,0,0
Punjab,17.4 - Under ITP Section 8,2014,0,0,0
Punjab,17.5 - Other Section of ITP Act,2014,0,0,0
Punjab,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0
Punjab,"19 - Protection of Children from Sexual Offences Act, 2012",2014,32,0,32
Punjab,19.1 - Under PCSO Act Section 4,2014,10,0,10
Punjab,19.2 - Under PCSO Act Section 6,2014,0,0,0
Punjab,19.3 - Under PCSO Act Section 8,2014,2,0,2
Punjab,19.4 - Under PCSO Act Section 10,2014,11,0,11
Punjab,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Punjab,19.6 - Other Acts of PCSO,2014,9,0,9
Punjab,20 - Attempt to commit Murder u/s 307 IPC,2014,58,5,63
Punjab,21 - Unnatural Offences u/s 377 IPC,2014,56,3,59
Punjab,22 - Other crimes committed against children,2014,57,4,61
Punjab,23 - Total crimes against Children,2014,1624,59,1683
Rajasthan,1 - Murder (Section 302 and 303 IPC),2014,75,5,80
Rajasthan,2 - Infanticide (Section 315 IPC),2014,9,0,9
Rajasthan,3 - Rape,2014,761,14,775
Rajasthan,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,270,5,275
Rajasthan,4.1 - Sexual Harassment (Section 354A IPC),2014,47,0,47
Rajasthan,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,12,0,12
Rajasthan,4.3 - Voyeurism (Section 354C IPC),2014,2,0,2
Rajasthan,4.4 - Stalking (Section 354D IPC),2014,20,0,20
Rajasthan,4.5 - Others assault,2014,189,5,194
Rajasthan,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,1,0,1
Rajasthan,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,845,21,866
Rajasthan,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,249,8,257
Rajasthan,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,9,0,9
Rajasthan,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,18,2,20
Rajasthan,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,335,8,343
Rajasthan,6.5 - Other Kidnapping,2014,234,3,237
Rajasthan,7 - Foeticide (Section 315 and 316 IPC),2014,1,3,4
Rajasthan,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Rajasthan,9 - Exposure and Abandonment (Section 317 IPC),2014,9,12,21
Rajasthan,10 - Procuration of minor girls (Section 366-A IPC),2014,36,0,36
Rajasthan,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Rajasthan,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Rajasthan,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Rajasthan,"14 - Prohibition of Child Marriage Act, 2006",2014,18,2,20
Rajasthan,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Rajasthan,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,5,0,5
Rajasthan,16.1 - Offences committed against Migrant,2014,1,0,1
Rajasthan,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Rajasthan,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Rajasthan,16.1.3 - Offences committed against others migrants,2014,1,0,1
Rajasthan,16.2 - Offences committed against Locals,2014,4,0,4
Rajasthan,16.2.1 - Offences committed against Local SCs,2014,0,0,0
